,src_id,dest_id,month,time_taken
257,156,902,7,49.804270462633454
258,156,902,8,127.65306122448979
259,156,902,9,128.30170777988616
260,156,902,10,128.4985835694051
261,156,902,11,128.05152979066023
262,156,902,12,125.1152639476197
275,167,1193,1,60.0
276,167,1193,2,60.0
277,167,1193,3,44.416873449131515
278,167,1193,4,36.26628075253256
279,167,1193,5,6.48776637726914
280,167,1193,6,30.801138674257828
281,167,1193,7,6.48776637726914
282,167,1193,8,1.450777202072539
283,167,1193,9,42.710092480900684
284,167,1193,10,36.26628075253256
285,167,1193,11,1.450777202072539
286,167,1193,12,34.95073891625616
287,227,494,1,53.79679144385027
288,227,494,2,90.65217391304348
289,227,494,3,101.6745886654479
290,227,494,4,140.37854889589906
291,227,494,5,140.34739454094293
292,227,494,6,140.35935198821798
293,227,494,7,140.13389121338912
294,227,494,8,140.2770083102493
295,227,494,9,140.40520984081041
296,227,494,10,140.36784025223332
297,227,494,11,140.2770083102493
298,227,494,12,102.77583624563155
307,227,1110,1,65.03896103896103
308,227,1110,2,66.40184757505774
309,227,1110,3,67.6036036036036
310,227,1110,4,67.59055118110236
311,227,1110,5,67.61747732893652
312,227,1110,6,67.75588235294117
313,227,1110,7,67.71285475792989
314,227,1110,8,68.62672811059907
315,227,1110,9,66.9547622488799
316,227,1110,10,67.59055118110236
317,227,1110,11,68.62672811059907
318,227,1110,12,66.49008254281138
319,228,249,1,60.0
320,228,249,2,60.0
321,228,249,3,60.0
322,228,249,4,60.0
323,228,249,5,60.0
324,228,249,6,60.0
325,228,249,7,60.0
326,228,249,8,60.0
327,228,249,9,60.0
328,228,249,10,60.0
329,228,249,11,60.0
330,228,249,12,60.0
332,228,512,1,60.0
333,228,512,2,60.0
334,228,512,3,60.0
335,228,512,4,60.0
336,228,512,5,60.0
337,228,512,6,60.0
338,228,512,7,60.0
339,228,512,8,60.0
340,228,512,9,60.0
341,228,512,10,60.0
342,228,512,11,60.0
343,228,512,12,60.0
345,228,1024,1,60.0
346,228,1024,2,60.0
347,228,1024,3,60.0
348,228,1024,4,60.0
349,228,1024,5,60.0
350,228,1024,6,60.0
351,228,1024,7,60.0
352,228,1024,8,60.0
353,228,1024,9,60.0
354,228,1024,10,60.0
355,228,1024,11,60.0
356,228,1024,12,60.0
361,245,504,3,8.455876994826204
362,245,504,4,46.83556405353728
363,245,504,5,43.98461538461538
364,245,504,6,46.59694288012872
365,245,504,7,43.830431491294476
366,245,504,8,45.32994923857868
367,245,504,9,46.30503978779841
368,245,504,10,46.83556405353728
369,245,504,11,45.32994923857868
370,245,504,12,15.575296830955839
373,245,1118,1,117.3913043478261
374,245,1118,2,117.37226277372262
375,245,1118,3,118.92448512585813
376,245,1118,4,119.52147239263803
377,245,1118,5,119.31392931392931
378,245,1118,6,119.5121107266436
379,245,1118,7,119.32098765432099
380,245,1118,8,119.46368715083798
381,245,1118,9,119.45417095777549
382,245,1118,10,119.52147239263803
383,245,1118,11,119.46368715083798
384,245,1118,12,118.93926432848589
385,249,228,1,60.0
386,249,228,2,60.0
387,249,228,3,60.0
388,249,228,4,60.0
389,249,228,5,60.0
390,249,228,6,60.0
391,249,228,7,60.0
392,249,228,8,60.0
393,249,228,9,60.0
394,249,228,10,60.0
